Name,Pos,Bats,Thr,Prev Team,Age,Service Time,Prev WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV,,playerid
"Gerrit Cole","SP","R","R","HOU",29,"6.111",7.423792362213135,6.041794300079346,7,224000000,32000000,17800000,"NYY","9","324000000","36000000",,13125
"Anthony Rendon","3B","R","R","WSN",30,"6.130",6.951971530914307,5.645773410797119,7,210000000,30000000,17800000,"LAA","7","245000000","35000000",,12861
"Stephen Strasburg","SP","R","R","WSN",31,"9.118",5.682963848114014,4.79984188079834,5,140000000,28000000,17800000,"WSN","7","245000000","35000000",,10131
"Yasmani Grandal","C","S","R","MIL",31,"7.115",5.212596416473389,5.033504009246826,3,48000000,16000000,,"CHW","4","73000000","18250000",,11368
"Josh Donaldson","3B","R","R","ATL",34,"7.158",4.92125940322876,5.320737838745117,3,60000000,20000000,17800000,"MIN","4","92000000","23000000",,5038
"Hyun-Jin Ryu","SP","R","L","LAD",33,"7.000",4.797518730163574,2.8938064575195312,3,48000000,16000000,,"TOR","4","80000000","20000000",,14444
"Zack Wheeler","SP","L","R","NYM",30,"6.098",4.6970601081848145,3.2733891010284424,4,72000000,18000000,17800000,"PHI","5","118000000","23600000",,10310
"Jake Odorizzi","SP","R","R","MIN",30,"6.042",4.3318610191345215,2.2807252407073975,3,45000000,15000000,17800000,"MIN","1","17800000","17800000",,6397
"Brett Gardner","CF/LF","L","L","NYY",36,"11.072",3.615548849105835,1.820428729057312,1,8000000,8000000,,"NYY","1","12500000","12500000",,9927
"Madison Bumgarner","SP","R","L","SFG",30,"9.127",3.1834120750427246,2.5177879333496094,4,72000000,18000000,17800000,"ARI","5","85000000","17000000",,5524
"Howie Kendrick","2B/1B/DH","R","R","WSN",36,"13.091",2.9325685501098633,1.1678354740142822,1,7000000,7000000,,"WSN","1","6250000","6250000",,4229
"Homer Bailey","SP","R","R","OAK",34,"11.017",2.8674252033233643,1.2299164533615112,1,5000000,5000000,,"MIN","1","7000000","7000000",,8362
"Mike Moustakas","2B/3B","L","R","MIL",31,"8.111",2.792665719985962,2.1013152599334717,3,36000000,12000000,,"CIN","4","64000000","16000000",,4892
"Nick Castellanos","RF/LF","R","R","CHC",28,"6.029",2.7718682289123535,1.071415662765503,4,56000000,14000000,,"CIN","4","64000000","16000000",,11737
"Michael Pineda","SP","R","R","MIN",31,"8.090",2.653914451599121,1.6614259481430054,2,22000000,11000000,,"MIN","2","20000000","7600000",,5372
"Eric Sogard","2B/3B/RF","L","R","TBR",34,"7.134",2.6478190422058105,0.7363637089729309,1,4000000,4000000,,"MIL","1","4500000","4500000",,7927
"Kyle Gibson","SP","R","R","MIN",32,"6.039",2.5989742279052734,2.9150688648223877,2,20000000,10000000,,"TEX","3","28000000","9333333",,10123
"Marcell Ozuna","LF/RF","R","R","STL",29,"6.124",2.578263521194458,2.603461503982544,4,64000000,16000000,17800000,"ATL","1","18000000","18000000",,10324
"Kole Calhoun","RF/LF","L","L","LAA",32,"6.130",2.534029722213745,1.2557384967803955,,0,,,"ARI","2","16000000","8000000",,11200
"Edwin Encarnación","1B/DH","R","R","NYY",37,"14.085",2.48891282081604,1.910240650177002,1,14000000,14000000,,"CHW","1","12000000","12000000",,2151
"Cole Hamels","SP","L","L","CHC",36,"13.143",2.4870128631591797,2.3145158290863037,2,30000000,15000000,,"ATL","1","18000000","18000000",,4972
"Robinson Chirinos","C","R","R","HOU",36,"7.103",2.271050453186035,0.5743521451950073,1,6000000,6000000,,"TEX","1","6750000","6750000",,3142
"Adam Wainwright","SP","R","R","STL",38,"14.027",2.1598169803619385,1.5482995510101318,1,8000000,8000000,,"STL","1","5000000","5000000",,2233
"Tyler Flowers","C","R","R","ATL",34,"8.148",2.10857892036438,1.5770372152328491,,0,,,"ATL","1","4000000","4000000",,9134
"Iván Nova","SP","R","R","CHW",33,"9.024",1.9813412427902222,0.9738380312919617,2,14300000,7150000,,"DET","1","1500000","1500000",,1994
"Brett Anderson","SP","L","L","OAK",32,"10.135",1.980884075164795,1.6967188119888306,1,5000000,5000000,,"MIL","1","5000000","5000000",,8223
"Wade Miley","SP","L","L","HOU",33,"8.025",1.966644048690796,1.8255244493484497,2,16000000,8000000,,"CIN","2","15000000","7500000",,8779
"Tanner Roark","SP","R","R","OAK",33,"6.055",1.9531198740005493,1.3756624460220337,2,20000000,10000000,,"TOR","2","24000000","12000000",,8753
"Eric Thames","1B/RF/LF","L","R","MIL",33,"4.063",1.9286915063858032,0.26122936606407166,,0,,,"WSN","1","4000000","4000000",,3711
"Martín Pérez","SP","L","L","MIN",29,"7.038",1.89613676071167,1.802169680595398,,0,,,"BOS","1","6500000","6500000",,6902
"José Abreu","1B","R","R","CHW",33,"6.000",1.8648202419281006,1.787545084953308,2,30000000,15000000,17800000,"CHW","3","50000000","16666667",,15676
"Asdrúbal Cabrera","2B/3B","S","R","WSN",34,"12.027",1.862720251083374,0.7071263790130615,2,12000000,6000000,,"WSN","1","2500000","2500000",,4962
"Todd Frazier","3B/1B","R","R","NYM",34,"8.071",1.859354853630066,1.427897334098816,1,7000000,7000000,,"TEX","1","5000000","5000000",,785
"Avisaíl García","RF/LF","R","R","TBR",29,"6.167",1.8336771726608276,0.7795315980911255,2,13500000,6750000,,"MIL","2","20000000","10000000",,5760
"Hunter Pence","LF/RF/DH","R","R","TEX",37,"12.156",1.8218224048614502,0.1493624448776245,,0,,,,"",,,,8252
"Rick Porcello","SP","R","R","BOS",31,"10.170",1.7841042280197144,1.9283685684204102,3,36000000,12000000,,"NYM","1","10000000","10000000",,2717
"Andrew Cashner","SP/RP","R","R","BOS",33,"9.126",1.7793322801589966,0.40915578603744507,,0,,,,"",,,,8782
"Jason Vargas","SP","L","L","PHI",37,"12.114",1.7609666585922241,0.5794954299926758,,0,,,,"",,,,8044
"César Hernández","2B","S","R","PHI",30,"5.154",1.72110915184021,1.9781283140182495,,0,,,"CLE","1","6250000","6250000",,10556
"Brian Dozier","2B","R","R","WSN",33,"7.100",1.6580454111099243,1.2423560619354248,2,18000000,9000000,,,"",,,,9810
"Jordan Lyles","SP","R","R","MIL",29,"8.002",1.622495412826538,1.2542519569396973,2,12000000,6000000,,"TEX","2","16000000","8000000",,7593
"Jason Castro","C","L","R","MIN",33,"9.104",1.6133912801742554,1.9366627931594849,2,12000000,6000000,,"LAA","1","6850000","6850000",,8722
"Julio Teheran","SP","R","R","ATL",29,"7.062",1.6114052534103394,0.482440710067749,,0,,,"LAA","1","9000000","9000000",,6797
"Cameron Maybin","LF/RF/CF","R","R","NYY",33,"10.059",1.591689109802246,0.33004239201545715,,0,,,,"",,,,5223
"Kevin Gausman","SP/RP","L","R","CIN",29,"5.151",1.5858592987060547,2.210641860961914,,0,,,"SFG","1","9000000","9000000",,14107
"José Iglesias","SS","R","R","CIN",30,"7.036",1.5632851123809814,1.4685661792755127,2,14000000,7000000,,"BAL","1","3000000","3000000",,10231
"Travis d'Arnaud","C","R","R","TBR",31,"6.044",1.5572340488433838,1.5885370969772339,2,10000000,5000000,,"ATL","2","16000000","8000000",,7739
"Kevin Pillar","CF/RF/LF","R","R","SFG",31,"5.113",1.4804468154907227,1.1731091737747192,,0,,,,"",,,,12434
"Gio González","SP","R","L","MIL",34,"10.146",1.4130113124847412,1.1201046705245972,2,20000000,10000000,,"CHW","1","5000000","5000000",,7448
"Brock Holt","2B/3B/LF","L","R","BOS",32,"6.052",1.3230376243591309,0.5819621086120605,2,8000000,4000000,,,"",,,,9345
"Jonathan Schoop","2B","R","R","MIN",28,"6.027",1.2939175367355347,1.6293503046035767,2,16000000,8000000,,"DET","1","6100000","6100000",,11265
"Starlin Castro","2B/3B","R","R","MIA",30,"9.150",1.2931995391845703,1.0556821823120117,,0,,,"WSN","2","12000000","6000000",,4579
"Alex Avila","C","L","R","ARI",33,"10.061",1.2760900259017944,1.069037914276123,1,4000000,4000000,,"MIN","1","4250000","4250000",,7476
"Alex Gordon","LF/RF","L","R","KCR",36,"12.092",1.2646160125732422,1.035470724105835,,0,,,"KCR","1","4000000","4000000",,5209
"Jarrod Dyson","CF/LF/RF","L","R","ARI",35,"8.088",1.2581120729446411,0.4403444826602936,1,3800000,3800000,,,"",,,,4866
"Yasiel Puig","RF/LF","R","R","CLE",29,"6.102",1.2481416463851929,1.6869544982910156,3,38250000,12750000,,,"",,,,14225
"Matt Joyce","LF/RF","L","R","ATL",35,"10.123",1.203034520149231,0.3782728612422943,1,2000000,2000000,,"MIA","1","1500000","1500000",,3353
"Brad Miller","2B/3B/LF","L","R","PHI",30,"6.004",1.1978799104690552,0.318119078874588,1,1000000,1000000,,,"",,,,12775
"Russell Martin","C","R","R","LAD",37,"13.150",1.1901888847351074,0.7878060340881348,1,5000000,5000000,,,"",,,,4616
"Will Smith","RP","R","L","SFG",30,"6.155",1.177980661392212,0.8192400932312012,3,30000000,10000000,17800000,"ATL","3","40000000","13333333",,8048
"Will Harris","RP","R","R","HOU",35,"6.102",1.1054705381393433,0.8980687260627747,2,14000000,7000000,,"WSN","3","24000000","8000000",,3192
"Wilmer Flores","2B/1B/3B","R","R","ARI",28,"6.003",1.0990899801254272,0.8972125053405762,,0,,,"SFG","2",,"",,5827
"Jason Kipnis","2B","L","R","CLE",33,"8.069",1.0627527236938477,0.7673274278640747,,0,,,,"",,,,9776
"Chris Martin","RP","R","R","ATL",34,"2.133",1.0459685325622559,0.7155028581619263,2,9000000,4500000,,"ATL","2","14000000","7000000",,11847
"Corey Dickerson","LF/RF","L","R","PHI",31,"6.101",1.0249850749969482,1.0996501445770264,2,16000000,8000000,,"MIA","2","17500000","8750000",,10762
"Yolmer Sánchez","2B/3B/SS","S","R","CHW",28,"4.134",1.010574460029602,0.1482183039188385,,0,,,"SFG","1","MiLB","",,11602
"Jake Diekman","RP","L","L","OAK",33,"7.050",0.999068021774292,0.6855906248092651,,0,,,"OAK","2","7500000","3750000",,5003
"Sergio Romo","RP","R","R","MIN",37,"11.097",0.965496301651001,0.06913729012012482,1,3000000,3000000,,"MIN","1","5000000","5000000",,9817
"Pablo Sandoval","3B/1B","S","R","SFG",33,"11.042",0.9609963893890381,-0.02951105497777462,,0,,,"SFG","1","MiLB","",,5409
"Daniel Hudson","RP","R","R","WSN",33,"9.106",0.9418502449989319,0.39532706141471863,2,12000000,6000000,,"WSN","2","11000000","5500000",,7146
"Didi Gregorius","SS","L","R","NYY",30,"6.159",0.9404975771903992,2.212646484375,3,45000000,15000000,,"PHI","1","14000000","14000000",,6012
"Rich Hill","SP","L","L","LAD",40,"10.127",0.8885890245437622,1.1058666706085205,1,10000000,10000000,,"MIN","1","3000000","3000000",,4806
"Sam Dyson","RP","R","R","MIN",32,"5.142",0.885492205619812,0.18366412818431854,,0,,,,"",,,,11710
"Stephen Vogt","C","L","R","SFG",35,"6.064",0.8827675580978394,0.2514342665672302,,0,,,"ARI","1","3000000","3000000",,5000
"Austin Romine","C","R","R","NYY",31,"6.045",0.8583715558052063,0.887048602104187,1,2500000,2500000,,"DET","1","4150000","4150000",,5491
"Brandon Kintzler","RP","R","R","CHC",35,"8.003",0.8500684499740601,0.3592979907989502,1,5000000,5000000,,"MIA","1","3250000","3250000",,9939
"Dallas Keuchel","SP","L","L","ATL",32,"7.031",0.794431746006012,2.4211950302124023,4,70400000,17600000,,"CHW","3","55500000","18500000",,9434
"Yan Gomes","C","R","R","WSN",32,"7.083",0.7856926321983337,0.828941822052002,,0,,,"WSN","2","10000000","5000000",,9627
"Aaron Sanchez","SP","R","R","HOU",27,"5.069",0.7850890755653381,0.3034885823726654,,0,,,,"",,,,11490
"Martín Maldonado","C","R","R","HOU",33,"7.156",0.7836427092552185,1.4566036462783813,2,9000000,4500000,,"HOU","2","7000000","3500000",,6887
"Adeiny Hechavarría","SS/3B/2B","R","R","ATL",31,"7.037",0.7347234487533569,0.07537296414375305,,0,,,"ATL","1","1000000","1000000",,10459
"Brad Brach","RP","R","R","NYM",34,"7.063",0.7314261198043823,0.22910049557685852,,0,,,"NYM","1","850000","850000",,6627
"Tyler Clippard","RP","R","R","CLE",35,"10.134",0.7165486812591553,-0.003908771555870771,,0,,,"MIN","1","2750000","2750000",,5640
"Mitch Moreland","1B/DH","L","L","BOS",34,"9.067",0.691763699054718,0.6570724844932556,1,5000000,5000000,,"BOS","1","3000000","3000000",,3086
"Dustin Garneau","C","R","R","OAK",32,"1.140",0.6668341159820557,0.3315241038799286,,0,,,"HOU","1","650000","650000",,9433
"Drew Pomeranz","RP/SP","R","L","MIL",31,"7.013",0.6658371090888977,0.8163378238677979,2,12000000,6000000,,"SDP","4","34000000","8500000",,11426
"Jordy Mercer","SS/2B","R","R","DET",33,"7.095",0.6257829666137695,0.2873183488845825,,0,,,"DET","1","MiLB","",,6547
"Collin McHugh","RP/SP","R","R","HOU",33,"6.085",0.5427144169807434,0.5510827302932739,2,10000000,5000000,,,"",,,,7531
"Robbie Erlin","SP/RP","R","L","SDP",29,"5.045",0.5423959493637085,0.27232393622398376,,0,,,"PIT","1","MiLB","",,10354
"Addison Russell","SS/2B","R","R","CHC",26,"4.118",0.5300333499908447,0.8801138997077942,,0,,,,"",,,,14106
"Yoshihisa Hirano","RP","R","R","ARI",36,"2.000",0.4928325116634369,0.026749124750494957,,0,,,"SEA","1","1600000","1600000",,19756
"Juan Nicasio","RP","R","R","PHI",33,"8.084",0.4557143449783325,0.06686128675937653,,0,,,"TEX","1","MiLB","",,7731
"Billy Hamilton","CF","S","R","ATL",29,"6.028",0.44204792380332947,0.1094793975353241,,0,,,,"",,,,10199
"Joe Smith","RP","R","R","HOU",36,"12.091",0.44094404578208923,0.3413449823856354,,0,,,"HOU","2","8000000","4000000",,3281
"Javy Guerra","RP","R","R","WSN",34,"4.145",0.42564523220062256,0.004225471988320351,,0,,,"WSN","1","MiLB","",,7407
"Craig Stammen","RP","R","R","SDP",36,"8.160",0.4186401665210724,0.49167656898498535,,0,,,"SDP","2","9000000","4500000",,7274
"Neil Walker","1B/3B","S","R","MIA",34,"9.166",0.3810599744319916,-0.01544984057545662,,0,,,"PHI","1","MiLB","",,7539
"Sean Rodríguez","3B/SS/LF","R","R","PHI",35,"10.105",0.3705216944217682,-0.013192292302846909,,0,,,"MIA","1","MiLB","",,6589
"Nick Markakis","LF/RF","L","L","ATL",36,"14.000",0.36750584840774536,0.5999138355255127,,0,,,"ATL","1","4000000","4000000",,5930
"Fernando Rodney","RP","R","R","WSN",43,"16.132",0.36277809739112854,0.13107280433177948,,0,,,,"",,,,494
"Tim Beckham","SS/3B/2B","R","R","SEA",30,"5.101",0.36241409182548523,0.18977050483226776,,0,,,,"",,,,7949
"Jeremy Jeffress","RP","R","R","MIL",32,"6.090",0.34397202730178833,0.2869884967803955,,0,,,"CHC","1","850000","850000",,9490
"David Hernandez","RP","R","R","NYY",35,"10.049",0.33765286207199097,0.02336982823908329,,0,,,"WSN","1","MiLB","",,4259
"Tony Sipp","RP","L","L","WSN",36,"10.060",0.3238188326358795,0.025449492037296295,,0,,,,"",,,,8280
"C.J. Cron","1B","R","R","MIN",30,"5.097",0.2919643819332123,1.498507022857666,,0,,,"DET","1","6100000","6100000",,12546
"Francisco Liriano","RP","L","L","PIT",36,"13.104",0.28078487515449524,0.05687572434544563,,0,,,"PHI","1","MiLB","",,3201
"Josh Phegley","C","R","R","OAK",32,"5.087",0.2791784107685089,0.014084948226809502,,0,,,"CHC","1","MiLB","",,9308
"Junior Guerra","RP","R","R","MIL",35,"3.155",0.27488356828689575,0.26784196496009827,,0,,,"ARI","1","2650000","2650000",,5702
"Charlie Culberson","3B/SS/LF","R","R","ATL",31,"4.084",0.27156534790992737,-0.1469530463218689,,0,,,"ATL","1","MiLB","",,3298
"Cory Gearrin","RP","R","R","NYY",34,"6.136",0.2636691927909851,-0.045774929225444794,,0,,,,"",,,,7947
"Guillermo Heredia","RF/LF/CF","R","L","TBR",29,"3.054",0.25989601016044617,-0.008732898160815239,,0,,,"PIT","1","1000000","1000000",,18721
"Ben Zobrist","2B/RF/LF","S","R","CHC",39,"12.033",0.24925702810287476,0.3690698444843292,1,5000000,5000000,,,"",,,,7435
"A.J. Cole","RP/SP","R","R","CLE",28,"2.124",0.24017125368118286,0.005388488993048668,,0,,,"TOR","1","MiLB","",,11467
"John Ryan Murphy","C","R","R","ATL",29,"3.122",0.21245521306991577,0.1395113617181778,,0,,,"PIT","1","MiLB","",,10346
"Steve Cishek","RP","R","R","CHC",34,"8.143",0.1995568573474884,0.004630753304809332,,0,,,"CHW","1","6000000","6000000",,6483
"Justin Smoak","1B","S","L","TOR",33,"9.077",0.19244514405727386,0.9772193431854248,1,5500000,5500000,,"MIL","1","5000000","5000000",,9054
"Kevin Plawecki","C","R","R","CLE",29,"3.167",0.19188563525676727,0.6176220178604126,,0,,,"BOS","1","900000","900000",,13807
"Logan Forsythe","3B/2B/1B","R","R","TEX",33,"8.113",0.1912885159254074,0.02739451639354229,,0,,,"PHI","1","MiLB","",,7185
"Joe Panik","2B","L","R","NYM",29,"5.100",0.18796877562999725,0.597909152507782,,0,,,"TOR","1","MiLB","",,11936
"Mike Morin","RP","R","R","PHI",29,"4.026",0.18690571188926697,-0.029586700722575188,,0,,,"MIL","1","MiLB","",,13442
"Josh Tomlin","RP/SP","R","R","ATL",35,"9.033",0.17738041281700134,-0.05695303902029991,,0,,,,"",,,,9388
"Tommy Hunter","RP","R","R","PHI",33,"10.066",0.15658633410930634,0.09801706671714783,,0,,,,"",,,,1157
"Clay Buchholz","SP","L","R","TOR",35,"11.021",0.13878905773162842,0.5699958205223083,1,4500000,4500000,,,"",,,,3543
"Darren O'Day","RP","R","R","ATL",37,"11.103",0.13242380321025848,0.3333030939102173,,0,,,"ATL","1","2750000","2750000",,3321
"Francisco Cervelli","C","R","R","ATL",34,"9.146",0.11879606544971466,0.4715261161327362,,0,,,"MIA","1","2000000","2000000",,5275
"Chad Bettis","SP/RP","R","R","COL",31,"5.096",0.09982894361019135,0.18565364181995392,,0,,,,"",,,,10587
"David Phelps","RP","R","R","CHC",33,"7.156",0.09837323427200317,0.22809149324893951,,0,,,"MIL","1","1500000","1500000",,6316
"Nick Vincent","RP","R","R","PHI",33,"6.052",0.09663620591163635,0.008126652799546719,,0,,,"SFG","1","MiLB","",,7555
"Ryan Zimmerman","1B/DH","R","R","WSN",35,"14.032",0.09614947438240051,0.2903149127960205,,0,,,"WSN","1","2000000","2000000",,4220
"Aaron Loup","RP","L","L","SDP",32,"7.040",0.08779904991388321,0.1518137902021408,,0,,,,"",,,,10343
"Tyler Olson","RP","R","L","CLE",30,"2.114",0.08745140582323074,0.0142670888453722,,0,,,"CHC","1","MiLB","",,14741
"Cody Anderson","SP","R","R","CLE",29,"3.116",0.080191969871521,0.17800426483154297,,0,,,,"",,,,12799
"Luke Gregerson","RP","L","R","STL",36,"10.054",0.0744563415646553,0.11016405373811722,,0,,,,"",,,,4090
"Tommy Milone","SP","L","L","SEA",33,"6.113",0.06342727690935135,0.2293335348367691,,0,,,,"",,,,7608
"Jeremy Hellickson","SP","R","R","WSN",33,"9.041",0.05844878777861595,0.28975388407707214,,0,,,,"",,,,4371
"Dellin Betances","RP","R","R","NYY",32,"6.078",0.05666119232773781,0.9264853000640869,2,18000000,9000000,,"NYM","1","10500000","10500000",,6216
"Taijuan Walker","SP","R","R","ARI",27,"5.142",0.04677257686853409,0.7246972918510437,,0,,,,"",,,,11836
"René Rivera","C","R","R","NYM",36,"7.107",0.04283050075173378,0.1313067525625229,,0,,,"NYM","1","MiLB","",,3648
"Pedro Strop","RP","R","R","CHC",35,"8.156",0.04039476066827774,0.2806127667427063,,0,,,"CIN","1","1825000","1825000",,4070
"Domingo Santana","LF/RF","R","R","SEA",27,"4.024",0.03164416551589966,0.7017512321472168,,0,,,,"",,,,10348
"Trevor Hildenberger","RP","R","R","MIN",29,"2.005",0.027676068246364594,0.005578949581831694,,0,,,"BOS","1","MiLB","",,17002
"Caleb Joseph","C","R","R","ARI",34,"5.020",0.01462516188621521,0.004979318473488092,,0,,,"TOR","1","MiLB","",,7087
"Derek Law","RP","R","R","TOR",29,"2.126",0.013824913650751114,0.06005796045064926,,0,,,"TEX","1","MiLB","",,13133
"James Hoyt","RP","R","R","CLE",33,"1.108",0.01118712592869997,0.15628844499588013,,0,,,"CLE","1","608500","608500",,14605
"Jeanmar Gómez","RP","R","R","TEX",32,"6.122",0.010337529703974724,-0.0004069242859259248,,0,,,,"",,,,9033
"Brad Boxberger","RP","R","R","CIN",32,"6.033",-0.0001332415413344279,-0.10327409952878952,,0,,,,"",,,,10133
"Josh Osich","RP","L","L","BOS",31,"3.119",-0.011421396397054195,0.005758773069828749,,0,,,"BOS","1","850000","850000",,11528
"Jerry Blevins","RP","L","L","ATL",36,"10.064",-0.013193367049098015,-0.00722533417865634,,0,,,"SFG","1","MiLB","",,7841
"Matt Albers","RP","L","R","MIL",37,"12.141",-0.023617079481482506,0.039494071155786514,,0,,,,"",,,,4300
"Donnie Hart","RP","L","L","NYM",29,"1.139",-0.02415143884718418,-0.012195480056107044,,0,,,,"",,,,15306
"Rajai Davis","CF/LF/RF","R","R","NYM",39,"12.043",-0.02423456311225891,-0.0851634219288826,,0,,,,"",,,,3708
"Tyson Ross","SP","R","R","DET",33,"8.118",-0.028156081214547157,0.3888906240463257,,0,,,"SFG","1","MiLB","",,7872
"Xavier Cedeño","RP","L","L","CHC",33,"6.005",-0.04049761965870857,-0.01738487370312214,,0,,,,"",,,,36
"Tyler Thornburg","RP","R","R","LAD",31,"5.162",-0.05565129220485687,-0.005668165162205696,,0,,,"CIN","1","MiLB","",,10688
"Héctor Santiago","RP","R","L","CHW",32,"7.101",-0.05945245549082756,-0.0131106898188591,,0,,,"DET","1","MiLB","",,4026
"Joey Rickard","RF/LF/CF","R","L","SFG",29,"3.049",-0.05964222177863121,0.00028019730234518647,,0,,,"SFG","1","MiLB","",,13277
"Greg Bird","1B","L","R","NYY",27,"4.053",-0.06359978765249252,0.06844750046730042,,0,,,"TEX","1","MiLB","",,14131
"Ryan Buchter","RP","L","L","OAK",33,"4.010",-0.06384439766407013,-0.00008768239058554173,,0,,,,"",,,,9456
"Fernando Abad","RP","L","L","SFG",34,"6.119",-0.06750998646020889,0.0555465966463089,,0,,,"WSN","1","MiLB","",,4994
"Arodys Vizcaíno","RP","R","R","SEA",29,"6.168",-0.06862464547157288,0.03492279723286629,,0,,,,"",,,,5498
"Jhoulys Chacín","SP","R","R","BOS",32,"9.054",-0.08945444226264954,0.17830702662467957,1,4000000,4000000,,"MIN","1","MiLB","",,2608
"Jesse Hahn","SP","R","R","KCR",30,"4.067",-0.09470847249031067,0.3487068712711334,,0,,,"KCR","1","600000","600000",,13287
"Carl Edwards Jr.","P","R","R","SDP",28,"3.098",-0.09663863480091095,0.1067645326256752,,0,,,"SEA","1","950000","950000",,13607
"Blake Parker","RP","R","R","PHI",35,"5.036",-0.10408349335193634,0.0639105811715126,,0,,,"PHI","1","MiLB","",,5224
"Gordon Beckham","2B/3B","R","R","DET",33,"9.032",-0.10452325642108917,0.03299442306160927,,0,,,,"",,,,9015
"Luis Avilán","RP","L","L","NYM",30,"6.146",-0.11674349009990692,-0.006506644189357758,,0,,,"NYY","1","MiLB","",,2882
"Logan Morrison","1B/DH","L","L","PHI",32,"8.116",-0.12002069503068924,0.00814112089574337,,0,,,"MIL","1","MiLB","",,9205
"Félix Hernández","SP","R","R","SEA",34,"14.060",-0.12047690153121948,0.4408334791660309,1,2500000,2500000,,"ATL","1","MiLB","",,4772
"Greg Holland","RP","R","R","WSN",34,"7.163",-0.12226001918315887,-0.18386848270893097,,0,,,"KCR","1","MiLB","",,7196
"Phil Gosselin","2B/3B/LF","R","R","PHI",31,"3.125",-0.12321058660745621,-0.001649911398999393,,0,,,"PHI","1","MiLB","",,10953
"Dan Otero","RP","R","R","CLE",35,"6.124",-0.12478592246770859,0.002042115665972233,,0,,,"NYY","1","MiLB","",,7385
"Nate Jones","RP","R","R","TEX",34,"8.000",-0.1266038715839386,0.16336897015571594,,0,,,"CIN","1","MiLB","",,4696
"Jimmy Nelson","SP","R","R","MIL",31,"5.107",-0.12849777936935425,0.5220812559127808,,0,,,"LAD","1","1250000","1250000",,10547
"Matt Adams","1B/DH","L","R","WSN",31,"7.033",-0.1335466355085373,-0.0033496201504021883,,0,,,"NYM","1","MiLB","",,9393
"Tyler Lyons","RP","L","L","NYY",32,"4.064",-0.13815489411354065,0.005101182963699102,,0,,,"NYY","1","MiLB","",,11334
"Ryon Healy","1B","R","R","SEA",28,"3.080",-0.14917141199111938,0.0723213255405426,,0,,,"MIL","1","1000000","1000000",,15447
"Edinson Vólquez","SP/RP","R","R","TEX",36,"11.059",-0.16140936315059662,0.05673743039369583,,0,,,"TEX","1","MiLB","",,3990
"Tim Federowicz","C","R","R","TEX",32,"3.158",-0.16352619230747223,0.000465188582893461,,0,,,"TEX","1","MiLB","",,8609
"Marco Estrada","SP","R","R","OAK",36,"10.018",-0.16730301082134247,0.012839049100875854,,0,,,,"",,,,1118
"Clayton Richard","SP/RP","L","L","TOR",36,"9.160",-0.17085468769073486,0.4380236566066742,1,2000000,2000000,,,"",,,,3551
"Alex Wood","SP","R","L","CIN",29,"6.123",-0.1748829483985901,1.6095051765441895,,0,,,"LAD","1","4000000","4000000",,13781
"Shawn Kelley","RP","R","R","TEX",36,"10.128",-0.18032416701316833,-0.001050324528478086,,0,,,,"",,,,7773
"Danny Salazar","SP/RP","R","R","CLE",30,"5.162",-0.18318630754947662,-0.34411320090293884,,0,,,,"",,,,5867
"Kohl Stewart","SP","R","R","MIN",25,"0.094",-0.18823830783367157,0.1408584713935852,,0,,,"BAL","1","800000","800000",,15502
"Alex Claudio","RP","L","L","MIL",28,"4.114",-0.20748478174209595,0.37127140164375305,,0,,,"MIL","1","1750000","1750000",,12890
"Michael Wacha","SP","R","R","STL",28,"6.062",-0.21013006567955017,0.4001660645008087,,0,,,"NYM","1","3000000","3000000",,14078
"Hanley Ramirez","1B/DH","R","R","CLE",36,"12.103",-0.21599219739437103,-0.08258241415023804,,0,,,,"",,,,8001
"Kevan Smith","C","R","R","LAA",32,"3.031",-0.21624663472175598,0.020370714366436005,,0,,,"TBR","1","MiLB","",,12284
"Héctor Rondón","RP","R","R","HOU",32,"7.000",-0.22201159596443176,0.41570863127708435,,0,,,"ARI","1","3000000","3000000",,2391
"Ryan Tepera","RP","R","R","TOR",32,"4.008",-0.22831395268440247,0.1533888280391693,,0,,,"CHC","1","900000","900000",,10291
"Hernán Pérez","2B/3B/SS","R","R","MIL",29,"5.056",-0.23478643596172333,-0.018573200330138206,,0,,,"CHC","1","MiLB","",,5751
"Shelby Miller","SP","R","R","MIL",29,"6.093",-0.24995672702789307,0.05867750197649002,,0,,,"MIL","1","MiLB","",,10197
"Steven Wright","SP/RP","R","R","BOS",35,"5.012",-0.25465553998947144,-0.00022888221428729594,,0,,,,"",,,,8185
"Pat Neshek","RP","S","R","PHI",39,"11.159",-0.25710761547088623,-0.0037121432833373547,,0,,,,"",,,,4682
"Nick Hundley","C","R","R","PHI",36,"11.017",-0.2603777050971985,-0.16728253662586212,,0,,,,"",,,,3376
"Tony Watson","RP","L","L","SFG",35,"8.101",-0.26200926303863525,0.32517650723457336,,0,,,"SFG","1","3000000","3000000",,3132
"Drew Smyly","SP","L","L","PHI",31,"7.143",-0.26253968477249146,0.9423962235450745,1,3000000,3000000,,"SFG","1","4000000","4000000",,11760
"Matt Wieters","C","S","R","STL",34,"10.129",-0.2733127772808075,0.02802695520222187,,0,,,"STL","1","2000000","2000000",,4298
"Mark Trumbo","1B/DH","R","R","BAL",34,"9.027",-0.27397283911705017,-0.16399772465229034,,0,,,,"",,,,6876
