Team,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,BIZ,Plays,RZR,OOZ,FSR,FRM,ARM,DPR,RngR,ErrR,UZR,UZR/150,Def
Angels,12966,9,0,2,-2,6,7,-17,6,14,2153,1784,0.829,485,6,3.8,9.3,-2.9,4.1,1.5,12,2.6,16
Astros,12969,9,0,-3,1,9,4,27,20,57,1988,1617,0.813,651,-12,11.2,0.6,-3,-5.1,-5,-12.5,-2.5,-17.5
Athletics,13002,-16,6,2,-2,-4,-17,26,4,8,2187,1785,0.816,556,-13,-14.5,-10,0.6,-4.8,-18.7,-32.8,-5.9,-26.8
Blue Jays,12969,2,0,5,7,1,-4,2,12,32,2236,1857,0.831,517,21,6.9,-8,-1.2,15.4,3.5,9.7,-0.4,31.6
Braves,12828,-15,-1,0,6,-13,-8,-6,1,-26,2215,1793,0.81,484,-17,-18.7,-5.1,8.4,3.6,1.1,8,0.7,12
Brewers,12915,9,2,3,-3,-7,-15,9,11,4,2174,1782,0.82,463,-5,9.9,-12.3,-4.8,-4.2,-2.3,-23.5,-5.8,-20.5
Cardinals,13182,-3,5,0,0,-9,-3,22,-1,14,2148,1753,0.816,500,15,6.3,-3.1,1.1,10.5,3.6,12.1,1,15.1
Cubs,13152,13,0,2,-5,-3,0,21,10,28,2048,1685,0.823,457,4,11,6.8,-4.7,21.7,-11.1,12.6,3,6.6
Diamondbacks,13200,-12,-4,-3,4,-2,8,69,12,72,2185,1798,0.823,594,12,-14.5,-4.7,-0.7,19.7,2.8,17.1,1.3,13.1
Dodgers,13011,2,-3,-2,-7,8,6,-9,12,12,2044,1692,0.828,467,2,19.3,4.9,-3.3,-9.4,13.4,5.6,1.8,9.6
Giants,12999,8,1,-5,5,-3,5,19,11,44,2229,1853,0.831,514,39,9.8,-5.2,3.8,15.6,7.7,21.8,2.1,14.8
Indians,12894,-3,0,2,-1,0,2,15,7,23,2005,1680,0.838,495,-7,0,-0.4,2.3,5.7,3.4,10.9,1.8,12.9
Mariners,13167,14,-2,2,-4,-11,-3,-45,5,-45,2253,1831,0.813,475,-9,14.3,-9.2,-0.1,-17.2,10.6,-16,-3.5,-10
Marlins,12843,-7,6,-2,4,3,-3,37,2,35,2188,1817,0.83,485,28,-17.3,0.5,5.9,-7.7,15.6,14.3,2.4,10.3
Mets,13164,17,0,-2,-2,1,4,-4,6,13,2172,1774,0.817,513,-42,14.9,3.6,-5.5,4,-1.8,0.3,0.3,-3.7
Nationals,12912,6,2,1,1,1,-4,-15,4,-4,2069,1667,0.806,469,-14,-4.5,-8.5,-0.2,-11.3,-0.1,-20.2,-4.4,-14.2
Orioles,12912,-4,4,0,4,15,16,-43,29,20,2104,1701,0.809,546,18,-2.3,13.1,4.1,-14.2,8.3,11.3,3.9,11.3
Padres,12963,7,0,2,0,-10,5,-25,19,-4,2056,1673,0.814,487,-38,21.5,-9.5,-1,-15.3,2.1,-23.7,-5.3,-20.7
Phillies,12927,-6,0,-1,-2,-4,-6,-77,-6,-103,2320,1880,0.81,482,-51,-18.3,3.4,-0.9,-9.4,-8.1,-15,-1.3,-15
Pirates,13407,18,-1,-1,4,15,-5,8,9,31,2163,1743,0.806,555,-1,26.9,7.3,3.7,-4.8,-16.6,-10.4,0,-20.4
Rangers,12984,-4,2,-2,-2,5,2,-2,12,13,2326,1896,0.815,526,12,-5.1,11.9,0.5,17.1,-9,20.5,4.2,18.5
Rays,13080,2,-6,2,-2,8,6,8,23,28,2016,1633,0.81,609,17,3.6,10.6,-0.4,12.5,-7.7,15,3.9,15
Red Sox,13035,-7,-1,3,-8,7,-12,8,13,10,2137,1760,0.824,571,2,-8.1,-5.2,0.1,-8,5.2,-7.9,-1.8,1.1
Reds,13080,-4,1,-4,-2,-1,0,8,5,-4,2201,1818,0.826,494,18,-5.9,2,-3.8,-6.6,0.6,-7.9,-0.9,-16.9
Rockies,12837,-17,-6,-1,5,-20,5,16,8,-10,2229,1800,0.808,557,22,-18.5,-11.9,-0.3,-6.4,1.7,-16.9,-4.1,-17.9
Royals,13068,-8,-2,3,-7,3,7,47,5,56,2209,1869,0.846,503,39,-10.7,4.2,-8.1,32.5,8.1,36.8,4.7,42.8
Tigers,13023,-15,-1,0,9,4,1,-3,9,14,2217,1790,0.807,541,13,-24.1,11.2,6.7,-10.1,-0.3,7.5,3.4,12.5
Twins,12987,-16,4,-3,-7,15,6,-17,2,-19,2340,1932,0.826,472,-16,-13.7,19.4,-1.2,5.3,6.5,30,6.4,23
White Sox,13074,24,1,-3,6,8,2,-55,5,-16,2124,1702,0.801,479,-42,18.5,-3.3,6.4,-26.1,1.5,-21.5,-2.6,-23.5
Yankees,13119,-2,-1,0,-1,-8,-4,-23,12,-28,2156,1732,0.803,525,11,-0.4,-12.4,-0.9,-7.2,0.8,-19.7,-4.7,-15.7
