Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB,GB,HR/FB,ERA,FIP,xFIP,WAR
Angels,74,88,29,689,162,1421.1,7.19,3.15,1.32,0.301,0.75,0.41,0.13,4.28,4.62,4.66,8
Astros,84,78,44,662,162,1468,8.56,2.78,1.11,0.306,0.73,0.45,0.13,4.06,3.85,3.87,17.6
Athletics,69,93,42,654,162,1433.1,7.46,2.91,1.16,0.299,0.71,0.46,0.13,4.51,4.24,4.28,13.7
Blue Jays,89,73,43,649,162,1459.1,8.1,2.84,1.13,0.282,0.75,0.47,0.13,3.79,4.04,4.02,16.8
Braves,68,93,39,748,161,1447.2,7.63,3.4,1.1,0.293,0.70,0.45,0.12,4.51,4.32,4.48,9
Brewers,73,89,46,675,162,1434.1,7.37,3.34,1.12,0.3,0.73,0.46,0.12,4.1,4.37,4.42,11.1
Cardinals,86,76,38,643,162,1448.1,8.02,2.95,0.99,0.304,0.72,0.50,0.13,4.08,3.88,3.88,16.6
Cubs,103,58,38,665,162,1459.2,8.88,3.05,1.01,0.255,0.78,0.47,0.13,3.15,3.77,3.74,18.8
Diamondbacks,69,93,31,737,162,1451.1,8.17,3.74,1.25,0.32,0.69,0.46,0.14,5.09,4.5,4.34,10.1
Dodgers,91,71,47,768,162,1453,9.35,2.87,1.02,0.288,0.74,0.43,0.12,3.7,3.61,3.75,20
Giants,87,75,43,737,162,1460.1,8.07,2.71,0.97,0.287,0.74,0.45,0.11,3.69,3.76,4.01,14.2
Indians,94,67,37,665,161,1445,8.71,2.87,1.16,0.289,0.73,0.47,0.14,3.86,3.91,3.8,18.2
Mariners,86,76,49,638,162,1457,8.14,2.84,1.32,0.292,0.75,0.43,0.14,4,4.3,4.17,14.5
Marlins,79,82,55,720,161,1435,8.65,3.73,0.95,0.303,0.74,0.43,0.11,4.05,3.97,4.21,15.5
Mets,87,75,55,700,162,1447,8.68,2.73,0.95,0.308,0.76,0.44,0.11,3.58,3.57,3.78,21.5
Nationals,95,67,46,670,162,1459.2,9.1,2.89,0.96,0.288,0.75,0.43,0.11,3.52,3.58,3.82,23.5
Orioles,89,73,54,605,162,1432,7.84,3.43,1.15,0.299,0.74,0.45,0.13,4.22,4.31,4.34,15.7
Padres,68,94,35,672,162,1440,7.64,3.56,1.14,0.296,0.71,0.46,0.13,4.44,4.4,4.42,8.6
Phillies,71,91,43,667,162,1437,8.14,2.92,1.33,0.304,0.71,0.41,0.14,4.64,4.34,4.21,13.9
Pirates,78,83,51,687,162,1450.2,7.64,3.31,1.12,0.306,0.73,0.47,0.13,4.22,4.3,4.28,9
Rangers,95,67,56,641,162,1443,7.2,3.33,1.25,0.292,0.73,0.46,0.14,4.38,4.58,4.49,12.6
Rays,68,94,42,647,162,1426.1,8.56,3.1,1.33,0.297,0.74,0.41,0.13,4.2,4.26,4.22,10.6
Red Sox,93,69,43,625,162,1439.2,8.51,3.06,1.1,0.293,0.73,0.42,0.11,4,4,4.2,18.8
Reds,68,94,28,646,162,1442,7.75,3.97,1.61,0.29,0.73,0.42,0.16,4.91,5.24,4.79,1
Rockies,75,87,37,695,162,1429.1,7.7,3.44,1.14,0.317,0.68,0.49,0.14,4.92,4.38,4.23,13.1
Royals,81,81,41,634,162,1440,8.04,3.23,1.29,0.298,0.75,0.44,0.13,4.21,4.42,4.33,12.1
Tigers,86,75,47,637,161,1428,7.76,2.91,1.15,0.3,0.72,0.45,0.12,4.24,4.16,4.31,18.5
Twins,59,103,26,695,162,1443,7.43,2.99,1.38,0.319,0.68,0.43,0.14,5.09,4.57,4.42,10.7
White Sox,78,84,43,643,162,1446.2,7.9,3.24,1.15,0.298,0.74,0.43,0.12,4.12,4.27,4.38,17.1
Yankees,84,78,48,645,162,1428.1,8.78,2.8,1.35,0.292,0.74,0.47,0.16,4.16,4.2,3.86,18.7
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
