Team,PA,AVG,OBP,SLG,wOBA,Off,BsR,Def,WAR,IP,K/9,BB/9,HR/9,BABIP,LOB,ERA,FIP,pWAR
Angels,6240,0.261,0.339,0.448,0.333,76.2,1.3,27.2,29.9,1458,9.1,3.2,1.5,0.302,0.73,4.36,4.52,13
Astros,6240,0.272,0.346,0.48,0.347,158.2,-0.5,-8.2,34.3,1458,9.7,2.9,1.4,0.306,0.73,4.08,4.13,20.4
Athletics,6240,0.254,0.329,0.458,0.331,74.5,2.3,1.5,27.3,1458,8.4,3.1,1.3,0.303,0.72,4.34,4.45,15.9
Blue Jays,6240,0.251,0.32,0.444,0.322,1.4,1.3,8.3,20.8,1458,8.2,3,1.6,0.308,0.71,4.83,4.83,10.1
Braves,5840,0.269,0.339,0.462,0.336,38.6,7.5,15.5,24.4,1458,9.1,3.1,1.2,0.314,0.73,4.1,4.1,17.1
Brewers,5840,0.264,0.339,0.453,0.334,27.9,-1,-16.8,19.4,1458,9.1,3.3,1.3,0.311,0.73,4.31,4.34,16.7
Cardinals,5840,0.253,0.329,0.431,0.322,1.6,6.2,4.2,19.5,1458,8.8,3.4,1.2,0.307,0.73,4.15,4.26,15.8
Cubs,5840,0.261,0.341,0.465,0.339,62.4,4.9,-7.3,24.2,1458,8.9,3.4,1.3,0.31,0.72,4.29,4.33,16.3
Diamondbacks,5840,0.261,0.329,0.45,0.327,-1.8,4.7,-1.3,18.5,1458,9.1,3.1,1.3,0.312,0.72,4.3,4.25,16.2
Dodgers,5840,0.262,0.345,0.478,0.345,122.6,11.9,19.8,33.4,1458,9.3,2.8,1.2,0.305,0.74,3.76,3.92,21.1
Giants,5840,0.256,0.322,0.41,0.311,-48.1,-1.3,12.7,14.8,1458,8.2,3.2,1.2,0.307,0.72,4.23,4.32,10.5
Indians,6240,0.259,0.334,0.447,0.329,6.3,6.8,31.5,24.1,1458,9.1,2.8,1.4,0.305,0.73,4.2,4.29,17.5
Mariners,6240,0.241,0.311,0.399,0.303,-74.1,7.6,-1.2,13.2,1458,8,3.3,1.5,0.304,0.72,4.66,4.82,8.2
Marlins,5840,0.249,0.317,0.405,0.308,-63.3,-0.5,-14.4,10.8,1458,8.4,3.3,1.3,0.306,0.72,4.42,4.52,11.5
Mets,5840,0.257,0.33,0.447,0.328,45.3,-1.5,-17.2,21,1458,9.5,2.9,1.2,0.312,0.73,3.89,3.85,23.1
Nationals,5840,0.271,0.344,0.452,0.336,30.7,4.8,-11.7,20.7,1458,9.5,3.1,1.3,0.309,0.73,4.03,4.07,22.7
Orioles,6240,0.256,0.312,0.425,0.311,-72.5,-0.7,-23.6,10.3,1458,7.6,3.6,1.7,0.303,0.71,5.2,5.36,7.5
Padres,5840,0.252,0.326,0.438,0.322,-1,5.5,5.1,19.3,1458,9.5,3.2,1.2,0.309,0.73,4.03,4.08,18.5
Phillies,5840,0.255,0.332,0.451,0.329,10.7,8.1,10,21.2,1458,9.1,3.1,1.4,0.306,0.73,4.31,4.42,15.2
Pirates,5840,0.264,0.327,0.419,0.316,-42.5,-0.5,-15.1,12.7,1458,9,3.2,1.3,0.319,0.72,4.37,4.25,15.4
Rangers,6240,0.248,0.324,0.439,0.322,-71,3,-18.1,11.4,1458,8.8,3.4,1.4,0.311,0.72,4.51,4.52,19
Rays,6240,0.249,0.322,0.425,0.317,-2.6,5.7,12.3,21.2,1458,10.1,3.2,1.2,0.305,0.75,3.73,3.84,22.4
Red Sox,6240,0.274,0.342,0.469,0.34,60.5,0.4,18.6,27.5,1458,9.1,3.4,1.3,0.31,0.72,4.28,4.3,16.3
Reds,5840,0.254,0.328,0.444,0.325,-24.9,-8.8,-25.1,12.7,1458,9.8,3.4,1.3,0.312,0.73,4.12,4.15,20.1
Rockies,5840,0.275,0.337,0.475,0.34,-45.2,5.4,-14,13.1,1458,8.2,3.4,1.4,0.319,0.70,4.88,4.73,14.4
Royals,6240,0.255,0.318,0.428,0.315,-54,1.7,3,14.9,1458,7.3,3.5,1.4,0.305,0.71,4.77,4.85,9
Tigers,6240,0.252,0.314,0.424,0.312,-64.7,-3.3,-15.4,11.6,1458,8,3.1,1.6,0.308,0.71,4.86,4.88,10.9
Twins,6240,0.27,0.343,0.477,0.344,110.6,3.2,-5,30.3,1458,8.7,2.9,1.5,0.306,0.72,4.55,4.57,15.4
White Sox,6240,0.264,0.326,0.458,0.33,55.9,-2.5,-0.9,24.8,1458,8.8,3.7,1.4,0.308,0.73,4.51,4.65,13.2
Yankees,6240,0.259,0.333,0.47,0.337,80.9,0,-8,26.8,1458,10.1,3,1.4,0.304,0.74,4.04,4.13,23.6
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
